word,category
this,demonstratives
that,demonstratives
important,descriptions
interesting,descriptions
confused,feelings
other,demonstratives
especially,degree
good,descriptions
bad,descriptions
big,descriptions
small,descriptions
fun,descriptions
interesting,descriptions
boring,descriptions
easy,descriptions
difficult,descriptions
angry,feelings
annoyed,feelings
embarrased,feelings
disappointed,feelings
hungry,feelings
nervous,feelings
relieved,feelings
surprised,feelings
tired,feelings
worried,feelings
word,nouns_objects_language
sentence,nouns_objects_language
phrase,nouns_objects_language
song,nouns_media_objects
singer,nouns_media_subjects_objects
TV show,nouns_media_objects
website,nouns_media_objects
actor,nouns_media_subjects_objects
movie,nouns_media_objects
book,nouns_media_objects
sport,nouns_media_objects
game,nouns_media_objects
city,places
thing,nouns_objects
place,places
person,nouns_people_subjects_objects
relationship,nouns_objects
information,nouns_objects
research,nouns_objects
process,nouns_objects
example,nouns_objects
part,nouns_objects
task,nouns_objects
rule,nouns_objects
system,nouns_objects
situation,nouns_objects
food,nouns_food_objects
dessert,nouns_food_objects
fruit,nouns_food_objects
vegetable,nouns_food_objects
here,adverbs_places
there,adverbs_places
restaurant,nouns_places
according to,prepositions
who,questions
what,questions
where,questions
when,questions
why,questions
how,questions
which,questions
how much,questions
how long,questions
today,time
tomorrow,time
yesterday,time
often,time
sometimes,time
now,time
still/not yet,time
again,time
because,transitions
so,transitions
but,transitions
in general,transitions
Be able to,verbs
bring,verbs
buy,verbs
Come,verbs
Do,verbs
Drink,verbs
Eat,verbs
Get,verbs
Give,verbs
Go,verbs
have,verbs
cat,nouns
Hear,verbs
Know,verbs
Like,verbs
Listen,verbs
Put,verbs
Say,verbs
See,verbs
Speak,verbs
Take,verbs
Think,verbs
be,verbs
Use,verbs
Want,verbs
Watch,verbs
write,verbs
read,verbs
recommend,verbs
analyze,verbs
realize,verbs
describe,verbs
explain,verbs
change,verbs
understand,verbs
function,verbs
create,verbs
try,verbs
expect,verbs
choose,verbs
solve,verbs
normal,descriptions
main,descriptions
dog,nouns
table,places_home
couch,places_home
bed,places_home
chair,places_home
forest,places_nature
meadow,places_nature
mountain,places_nature
river,places_nature
stream,places_nature
ocean,places_nature
sky,places_nature
mist,places_nature
universe,places_home
sun,places_home
moon,places_home
field,places_home
room,places_home
street,places_home
building,places_home
sofa,places_home
kitchen,places_home
water,nouns_subjects_objects
dark (of liquid),descriptions
dark (general),descriptions
dark (of sky),descriptions
